,rowid,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,category
koi_time0bk,0.07366760254858841,0.013620315121035188,-0.008329334809606138,0.2507479708819629,-0.12075013687315082,-0.11998924980372774,-0.10111299360559009,0.0955795883502278,0.41356826585417333,-0.43007867051389126,1.0,0.16565976786468534,-0.16565976786468534,0.04924075937172609,0.03815277252972572,-0.06019190840770758,0.21627066350948368,0.23334341877971196,-0.2468693236499512,-0.05101474058969927,0.0459366389911675,-0.047703603955028026,0.03499159572528333,0.03574590081539802,-0.03259858764243656,-0.3244623502451537,,,-0.022278587514377998,-0.030212530599014423,0.021091032569372857,-0.0587806287894507,0.0038272840932307454,0.008366746939997996,0.037650082163357565,-0.026393071572761162,-0.0062201548773061395,-0.032912012529946785,-0.12117390050929948,-0.004923549233686735,0.010616949261154546,0.010165164003447727,-0.029614871525540692,0.012701524038626986,0.01012418444731348,0.058398525374280294
koi_time0bk_err1,0.2142686741206987,-0.002222224157951321,-0.028336500325702643,0.26360961760646373,-0.17294631133530464,-0.03157868698177424,0.0019767157611431346,0.02077597475340213,0.51572672029488,-0.51572672029488,0.16565976786468534,1.0,-1.0,0.019878765810129657,-0.021710832080179755,-0.03230011028559945,0.20626344232329624,0.5432075986911532,-0.5432075986911532,-0.11181498292123009,0.014768787415156184,-0.014768787415156184,0.012056581225602034,0.025911907284012846,-0.010410371100380025,-0.1255969672872739,,,-0.005331277498885319,-0.009226820692923288,0.002552779458854166,-0.13037785258104267,0.058005681818116425,0.055871097116322335,0.07517320361526675,-0.06543856728087794,-0.03497290676147141,0.03256993099811047,-0.14912004943914026,0.03221173168008467,0.05501026081961177,-0.031054769225513257,-0.01348477041429384,-0.0030400654115074442,-0.04063497131800095,0.1098268128535265
koi_time0bk_err2,-0.2142686741206987,0.002222224157951321,0.028336500325702643,-0.26360961760646373,0.17294631133530464,0.03157868698177424,-0.0019767157611431346,-0.02077597475340213,-0.51572672029488,0.51572672029488,-0.16565976786468534,-1.0,1.0,-0.019878765810129657,0.021710832080179755,0.03230011028559945,-0.20626344232329624,-0.5432075986911532,0.5432075986911532,0.11181498292123009,-0.014768787415156184,0.014768787415156184,-0.012056581225602034,-0.025911907284012846,0.010410371100380025,0.1255969672872739,,,0.005331277498885319,0.009226820692923288,-0.002552779458854166,0.13037785258104267,-0.058005681818116425,-0.055871097116322335,-0.07517320361526675,0.06543856728087794,0.03497290676147141,-0.03256993099811047,0.14912004943914026,-0.03221173168008467,-0.05501026081961177,0.031054769225513257,0.01348477041429384,0.0030400654115074442,0.04063497131800095,-0.1098268128535265
koi_impact,0.033460029245438,0.00035787036230662544,-0.2143396000749116,0.056061506710321556,0.04320432259227351,0.011166039598407916,-0.005013735402360998,0.004928270053746474,0.024696631500289414,-0.02499936151126197,0.04924075937172609,0.019878765810129657,-0.019878765810129657,1.0,0.13505040514026037,-0.8032471256467444,0.0369546374463404,0.029316397358161495,-0.029863586158492213,0.005594507461861844,0.003715726978473794,-0.0037525237958849554,0.6773803638093175,0.7649191038031738,-0.6068926941620518,-0.00998248922835139,,,-0.003658753966235857,-0.0027567164368423607,0.0030368423122055194,-0.0004762653067564076,-0.00804042430299504,0.01606989733056084,0.025403328948730333,-0.03914300032071441,-0.05927453870773496,0.01062201149872232,0.0004790388651109999,0.022644797071961334,0.02176125775105984,-0.029130671322279936,0.0224637276018782,-0.001804304679894838,-0.009795807235068246,0.07199242222858618
koi_impact_err1,-0.03748916681646081,-0.03289305629753578,-0.12175190543113208,-0.02239898259364964,0.14615231545337118,0.10829378646022421,0.0346191991974723,-0.00188366678228346,-0.01407092714610336,0.01407092714610336,0.03815277252972572,-0.021710832080179755,0.021710832080179755,0.13505040514026037,1.0,-0.20687979989931565,-0.004080983754218387,-0.0058624276775869726,0.0058624276775869726,-0.04005443894447501,0.003104295646886641,-0.003104295646886641,0.02760544576105456,0.044885119756067564,-0.019249912165299855,-0.060290427028187765,,,-0.006825527216645049,-0.009033783561477373,0.006390004285495183,-0.051841770965145174,-0.01709119623140606,-0.008267918470732367,0.04726005754884874,-0.03620156696913215,0.006990285470456335,0.007949140265297491,-0.008021359606631067,0.005846538641876545,0.0033783936796835706,-0.006546359145312775,0.025824602714516972,-0.032157823096893814,0.05063149512997639,0.11829663682599209
koi_impact_err2,-0.00740553254914695,-0.007212453458057688,-0.07217580320686247,-0.04609633937974397,0.05144122182543613,-0.0027631385465791305,0.009869210103397695,-0.0038433800640579347,-0.031763103252986265,0.031763103252986265,-0.06019190840770758,-0.03230011028559945,0.03230011028559945,-0.8032471256467444,-0.20687979989931565,1.0,-0.0196887549092721,-0.04578780768434872,0.04578780768434872,0.058740740270844145,-0.005093304776707966,0.005093304776707966,-0.5763014646477685,-0.6235280039037894,0.520823118735073,0.04736984985041167,,,0.004612789360108325,0.006882543292949681,-0.003557574804873874,0.06922283381128368,-0.026668078859733605,0.011946144792533354,0.011201635174194497,0.006070237191072462,0.03449991507366478,0.017305682799899264,-0.016622317776708136,-0.01809346907454846,-0.007532152766875877,0.02328237454190117,0.004102598301966844,-0.004720692647629623,0.0018923849885479089,-0.004820394750604882
koi_duration,0.1580470038453025,-0.026407381066465604,-0.17320014254471344,0.2593607998824318,0.003638883326686552,-0.04553681035796039,0.018939194228761884,0.037301808361714844,0.26305033686864043,-0.2728079149696701,0.21627066350948368,0.20626344232329624,-0.20626344232329624,0.0369546374463404,-0.004080983754218387,-0.0196887549092721,1.0,0.3674384090443958,-0.3825550456637365,0.0672747196050826,0.002347359196718831,-0.002387936167147455,0.036572893177196135,0.019729003933042645,-0.034864117950531064,-0.19472964133949963,,,-0.018973284226441504,-0.023261505046064914,0.01836490212647551,0.08358381063386057,-0.01183832397748637,0.10620342183332802,0.06829205604685704,-0.06968175211952635,-0.12223901240374768,0.10123206083590378,-0.0909461017013167,0.013675136776850316,0.04934183324192816,-0.017940643925895606,0.030927151166763197,-0.028101368023508135,-0.09847650862698133,0.15257497873533704
koi_duration_err1,0.22127816302191428,-0.014673554225583292,-0.08773523498145346,0.31829994911315573,-0.18158978869012396,-0.008512971719624741,0.020461772513374967,0.0323136976066725,0.5455646102486102,-0.54349220203895,0.23334341877971196,0.5432075986911532,-0.5432075986911532,0.029316397358161495,-0.0058624276775869726,-0.04578780768434872,0.3674384090443958,1.0,-1.0,-0.13077919285039377,0.019952017807943943,-0.019352301600479824,0.021426346612801246,0.017905778277506012,-0.02015732582215497,-0.14980152397623642,,,-0.01012835933785151,-0.011579873306409187,0.007971571997392207,-0.1489505549960734,0.033612880339564034,0.06846258940587638,0.08739103762060915,-0.08272158463331637,-0.04282934241873369,0.02233600359195087,-0.1604897926979869,0.019981029925010076,0.05668591006506371,-0.022560827893382478,0.0020689078302314327,-0.015207794109813507,-0.05292550273308784,0.14771434981564532
koi_duration_err2,-0.24040878530414156,0.015497490936368392,0.0953039218493539,-0.3703540009586236,0.19394639675535,0.013526991281190207,-0.016910008034933557,-0.0329222068040363,-0.54349220203895,0.54349220203895,-0.2468693236499512,-0.5432075986911532,0.5432075986911532,-0.029863586158492213,0.0058624276775869726,0.04578780768434872,-0.3825550456637365,-1.0,1.0,0.13194390978574108,-0.019352301600479824,0.019352301600479824,-0.02140177841554755,-0.01790837559387493,0.020109975703680297,0.1496417558526095,,,0.008753421605019907,0.009605391505563173,-0.006523887653388054,0.15039285699674726,-0.03954429861835336,-0.07018204526357973,-0.08923937119067105,0.0847465511860975,0.04568725447550166,-0.024178190140136956,0.16088515054275843,-0.025426605594086694,-0.06099992479730967,0.03221086220525431,-0.0028199677256327553,0.01610569975460357,0.06139714202338316,-0.16742115018985185
koi_depth,0.22478922981113073,-0.01748334943676751,-0.30100982069223675,-0.04587277881403349,0.4243227818931588,-0.12498708405251499,-0.0872797555706455,-0.00918023979970597,-0.07054323389555832,0.07108599852168818,-0.05101474058969927,-0.11181498292123009,0.11181498292123009,0.005594507461861844,-0.04005443894447501,0.058740740270844145,0.0672747196050826,-0.13077919285039377,0.13194390978574108,1.0,0.22853106150269475,-0.22891317876304962,0.002558182541461999,0.010753966362542488,-0.0007912191517623501,0.08073542904495416,,,-0.006310284599911864,-0.005934341139952517,0.004400230746613735,0.5797248816864162,-0.09451068416430514,0.11360829281265546,0.1492372542541183,-0.13670310308484349,-0.00836493137697288,0.10597686190314762,-0.01788545525410104,-0.016826327336069247,-0.004058604054420323,0.002431488919107616,0.028557508517968875,-0.018075822054080423,0.04270917588954807,0.24094873270199857
